,code,label_n1,label_n2,description,commentaire
24,CBRN/NTRCH,"Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ","Neutraliser, chimique ",Sécuriser ou désintoxiquer un objet contaminé par un agent chimique.,
25,CBRN/NUCWS,"Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ",Élimination des déchets nucléaires ,Élimination des substances contaminées par des matières nucléaires vers une zone de stockage désignée.,
26,FF/IN,Mission de lutte contre l'incendie ,Lutte contre l'incendie industriel ,Lutte contre l'incendie dans les locaux industriels.,
27,FF/OA,Mission de lutte contre l'incendie ,Lutte contre l'incendie en espace ouvert ,Lutte contre l'incendie en espace ouvert.,
28,FF/SALVAG,Mission de lutte contre l'incendie ,Sauvetage ,Opérations visant à protéger les bâtiments et les biens contre les incendies et les inondations.,
29,FF/STR,Mission de lutte contre l'incendie ,Lutte contre l'incendie structurel ,Lutte contre l'incendie dans les structures et les bâtiments.,
30,FF/TRP,Mission de lutte contre l'incendie ,Lutte contre l'incendie de transport ,Lutte contre l'incendie impliquant des transports.,
31,FSTT/DI,Intervention technique des services d'incendie ,Intervention en cas de catastrophe ,Réponse aux catastrophes et fourniture de services d'urgence.,
32,FSTT/RRHAZ,Intervention technique des services d'incendie ,Contrôle et/ou réduction des risques dans les incidents liés aux matières dangereuses ,Gestion des matières dangereuses lors des incidents.,
33,FSTT/TA,Intervention technique des services d'incendie ,Assistance technique à la communauté ou à d'autres services publics ,Fournir une assistance technique dans une situation d'urgence.,
34,GEN/AIRLAU,Activités génériques ,Activité de lancement d'aéronefs ,L'occurrence du décollage d'un ou de plusieurs aéronefs.,
35,GEN/ASSMBL,Activités génériques ,Assemblage ,Réunion de plusieurs objets dans la même zone.,
36,GEN/CRWDCT,Activités génériques ,Contrôle de foule ,Restriction du mouvement d'un grand groupe de personnes.,
37,GEN/DEMO,Activités génériques ,Démolition ,"La destruction de structures, d'installations ou de matériels par utilisation du feu, de l'eau, d'explosifs, de moyens mécaniques ou d'autres moyens.",
38,GEN/DEPLOY,Activités génériques ,Déploiement ,Le déploiement de ressources sur un incident. Aussi connu sous le nom de mobilisation.,
39,GEN/DSTRBT,Activités génériques ,Distribution ,Diviser ou distribuer en portions.,
40,GEN/FINANC,Activités génériques ,Finance ,"La capacité de fournir des conseils financiers et une orientation, un soutien pour le processus d'approvisionnement, la fourniture de salaires et de soutien aux dépenses.",
41,GEN/MARKNG,Activités génériques ,Marquage ,Rendre visible (par l'utilisation de la lumière/IR/laser/artillerie) un objet afin de permettre son identification par un autre objet.,
42,GEN/MOVE,Activités génériques ,Déplacement ,Changement de position d'un endroit à un autre.,
43,GEN/RECVRN,Activités génériques ,Récupération ,"Récupération de tout objet perdu, incapacité ou capturé.",
44,GEN/RECVRY,Activités génériques ,Rétablissement ,"La capacité de contacter, protéger et extraire le personnel, les petits groupes ou unités ou le matériel.",
45,GEN/REDPLN,Activités génériques ,Redéploiement ,"Transfert d'une unité, d'un individu ou de fournitures déployées dans une zone vers une autre zone ou vers un autre emplacement à l'intérieur de la zone, en vue d'une utilisation ultérieure.",
46,GEN/REORGN,Activités génériques ,Réorganisation.,Changement de l'organisation des tâches pour une opération particulière (a lieu généralement avant une opération). Cela inclut le transfert de l'autorité.,
47,GEN/REPAIR,Activités génériques ,Réparation ,Restauration d'un élément en état de marche en corrigeant une défaillance spécifique ou une condition hors service.,
48,GEN/RESPLN,Activités génériques ,Réapprovisionnement ,Reconstitution des stocks afin de maintenir les niveaux d'approvisionnement requis.,
49,GEN/RESTNG,Activités génériques ,Repos ,Observation d'une période d'inactivité spécifiée par une organisation qui est hors de contact avec l'ennemi.,
50,GEN/RETIRE,Activités génériques ,Retraite ,Déplacement d'une force hors de contact avec l'attente de ne plus avoir de contact significatif.,
51,GEN/RLFPLC,Activités génériques ,Relève sur place ,"Une opération dans laquelle, sur ordre d'une autorité supérieure, tout ou partie d'une unité est remplacé dans une zone par l'unité entrante. Les responsabilités des éléments remplacés pour la mission et la zone d'opérations assignée sont transférées à l'unité entrante. L'unité entrante poursuit l'opération conformément aux ordres.",
52,GEN/RNDZVS,Activités génériques ,Rendez-vous ,Atteindre une réunion préalablement organisée à un moment et à un endroit donnés.,
53,GEN/SCNMNG,Activités génériques ,Gestion de scène ,Le contrôle du lieu de l'incident d'urgence.,
54,GEN/SECRNG,Activités génériques ,Sécurisation ,"Prendre possession d'une position ou d'une caractéristique de terrain, avec ou sans recours à la force, et prendre des dispositions pour empêcher, dans la mesure du possible, sa destruction ou sa perte.",
55,GEN/STNGUP,Activités génériques ,Mise en place ,"Établir une installation, une organisation ou une caractéristique.",
56,GEN/SUPRTN,Activités génériques ,Soutien ,"Aider, protéger, compléter ou soutenir un objet.",
57,GEN/TRNSPN,Activités génériques ,Transport ,"Déplacer des actifs vers un objectif spécifié par mer, terre ou air.",
58,INT/BIOSMP,Renseignement ,Échantillonnage biologique ,L'action de détecter un contaminant biologique.,
59,INT/CHMSMP,Renseignement ,Échantillonnage chimique ,L'action de détecter un contaminant chimique.,
60,INT/IDENT,Renseignement ,Identification ,"Déterminer l'identification d'une classe d'objet particulière, reconnaître le caractère amical ou ennemi d'un objet ou détecter la présence d'un objet.",
61,INT/ILLUMN,Renseignement ,Éclairage ,Fournir un éclairage en utilisant des projecteurs de recherche ou des illuminants pyrotechniques par diffusion ou réflexion.,
62,INT/LOCTNG,Renseignement ,Localisation ,Établir la position d'un objet.,
63,INT/NUCSMP,Renseignement ,Échantillonnage nucléaire ,L'action de détecter un contaminant radiologique.,
64,INT/OBSRNG,Renseignement ,Observation ,Fournir une vue continue et la possibilité de rapports sur l'activité d'un objet.,
65,INT/PLUMOD,Renseignement ,Modélisation de panache ,"Projection informatique de la zone affectée après un incident de pollution ou de contamination, utilisée pour prédire quelles zones peuvent nécessiter une évacuation.",
66,INT/PTRLNG,Renseignement ,Patrouille ,"Rassembler des informations ou mener une mission destructrice, harassante, de ratissage ou de sécurité.",
67,INT/RECCE,Renseignement ,Reconnaissance ,"Mener une mission visant à obtenir par des opérations visuelles ou d'autres méthodes de détection des informations sur l'état d'un événement donné, ou à recueillir des données sur les caractéristiques météorologiques, hydrographiques ou géographiques d'une zone particulière.",
68,INT/SRVMET,Renseignement ,Surveillance météorologique ,La capacité à effectuer une observation systématique des conditions météorologiques.,
69,INT/SRVSEN,Renseignement ,Surveillance par capteur ,"La capacité à gérer, exploiter et entretenir des actifs de surveillance par capteur.",
70,INT/WITNSN,Renseignement ,Témoin ,Observer une activité qui pourrait nécessiter la fourniture de preuves.,
71,MAC/AII,Coopération multi-agences ,Assistance à l'enquête sur l'incident ,Personnel spécialement formé fournissant une assistance dans le cadre des enquêtes sur les incidents.,
72,MAC/COL,Coopération multi-agences ,Coordination avec d'autres agences ,Liaison et coopération entre différentes agences.,
73,MIL/BCESC,Activités militaires ,"Traversée de la frontière, escortée ",Une traversée de frontière qui est effectuée sous escorte.,
74,MIL/BLOCKN,Activités militaires ,Blocage ,Empêcher l'accès de l'ennemi à une zone ou empêcher sa progression dans une direction ou le long d'une voie d'approche.,
75,MIL/BOMBNG,Activités militaires ,Bombardement ,"Attaquer, endommager ou détruire à l'aide de bombes.",
76,MIL/CAPTUR,Activités militaires ,Capture ,"Prendre possession d'un objet, généralement par la force, impliquant fréquemment un mouvement en tant que phase préliminaire.",
77,MIL/CTRATK,Activités militaires ,Contre-attaque ,"Lancer une opération offensive dans laquelle une attaque par tout ou partie d'une force défensive est dirigée contre une force ennemie attaquante, dans le but spécifique de regagner le terrain perdu, de couper ou de détruire les unités ennemies de tête, et avec l'objectif général de reprendre l'initiative et de priver l'ennemi de l'atteinte de son but ou de son objectif d'attaque.",
78,MIL/DEFEND,Activités militaires ,Défense ,Protéger un objet défini contre une attaque ennemie.,
79,MIL/DISENG,Activités militaires ,Désengagement ,Mettre fin à une action.,
80,MIL/DIVRSN,Activités militaires ,Diversion ,Rendre inefficace ou inutilisable dans le cadre d'opérations militaires.,
81,MIL/DLBATK,Activités militaires ,Attaque ,"Mettre des bombes, des mines, des missiles et des pièges hors service.",
82,MIL/DSRPTN,Activités militaires ,Perturbation ,Le contrôle du lieu de l'incident d'urgence.,
83,MIL/ENVLPN,Activités militaires ,Enveloppement ,Protection d'une scène pour préserver les preuves.,
84,MIL/FIX,Activités militaires ,Fixation ,"Terme indiquant que les personnes dans une zone donnée doivent rester chez elles, fermer toutes les portes et fenêtres et écouter la station de radio locale pour de plus amples informations. Connu également sous le nom de ""Confinement"" (Portugal) utilisé au Portugal pour indiquer la zone affectée où les gens doivent entrer, rester à l'intérieur et écouter.",
85,MIL/HARASS,Activités militaires ,Harcèlement ,La cessation des activités de guerre.,
86,MIL/HIDE,Activités militaires ,Cachette ,Désengager une force en contact avec une force ennemie.,
87,MIL/HLDDEF,Activités militaires ,Maintien en position défensive ,Éliminer ou neutraliser un obstacle.,
88,MIL/HLDOFF,Activités militaires ,Maintien en position offensive ,La réactivation de la transmission de l'information.,
89,MIL/INFLTN,Activités militaires ,Infiltration ,La rétablissement de la capacité de communication.,
90,MIL/INTCPN,Activités militaires ,Interception ,"Construction, érection ou création d'un objet.",
91,MIL/INTDCT,Activités militaires ,Interdiction ,La capacité de construire diverses installations en soutien direct des opérations militaires.,
92,MIL/MASFOR,Activités militaires ,Concentration de forces ,La capacité de construire diverses installations en soutien direct des opérations navales.,
93,MIL/MIL,Activités militaires ,Missions spécifiques militaires ,Achat de tout ce qui est nécessaire pour accomplir une action particulière.,
94,MIL/WPNFIR,Activités militaires ,Tir d'armes ,Le tir d'armes.,
95,NET/COMDEA,Activités de réseau et de télécommunication ,Désactivation des communications ,La désactivation de la transmission d'informations.,
96,NET/DATTRF,Activités de réseau et de télécommunication ,Transfert de données ,Un service pour le transfert électronique de données.,
97,NET/NETJAM,Activités de réseau et de télécommunication ,Brouillage de réseau ,,
98,NET/NETSEI,Activités de réseau et de télécommunication ,Saisie de réseau ,,
99,NET/SGNC,Activités de réseau et de télécommunication ,Centre de nœud de signal ,"La capacité des services de transmission à gérer, exploiter et contrôler un centre de nœuds de communication.",
100,NET/SGNLE,Activités de réseau et de télécommunication ,Extension importante du nœud de signal ,"La capacité des services de transmission à gérer, exploiter et contrôler un grand nœud de communication.",
101,POL/NTRCOM,Activités de police ,"Neutralisation, combat ",Rendre inefficace ou inutilisable dans les opérations militaires ,
102,POL/NTREXP,Activités de police ,"Neutralisation, explosive ","Mettre hors service les bombes, les mines, les missiles et les pièges explosifs en toute sécurité ",
103,POL/SCNMNG,Activités de police ,Gestion de scène ,Le contrôle du site de l'incident d'urgence ,
104,POL/SCNPRS,Activités de police ,Préservation de la scène ,Protection d'une scène pour préserver les preuves ,
105,POL/SHELTR,Activités de police ,Hébergement ,"Terme indiquant que les personnes dans une zone ou une zone donnée doivent rester chez elles, fermer toutes les portes et fenêtres et régler leur poste de radio local pour de plus amples informations. Connu également sous le nom de ""Confinement"" (Portugal) Utilisé au Portugal pour indiquer la zone affectée où les personnes doivent entrer, rester à l'intérieur et régler leur poste de radio ",
106,POL/SUSHOS,Activités de police ,Suspension des hostilités ,La cessation des activités de guerre ,
107,POL/WITDRL,Activités de police ,Retrait ,Désengager une force en contact avec une force ennemie ,
108,REC/CLROBS,Activités de reconstruction/réhabilitation ,Déblaiement (obstacle) ,Éliminer ou neutraliser un obstacle ,
109,REC/COMACT,Activités de reconstruction/réhabilitation ,Activation des communications ,La réactivation de la transmission de l'information ,
110,REC/COMRES,Activités de reconstruction/réhabilitation ,Restauration des communications ,La rétablissement de la capacité de communiquer ,
111,REC/CONSTN,Activités de reconstruction/réhabilitation ,Construction ,"Construction, érection ou création d'un objet ",
112,REC/ENGCN,Activités de reconstruction/réhabilitation ,"Génie, construction ",La capacité de construire diverses installations en soutien direct des opérations militaires ,
113,REC/ENGCNN,Activités de reconstruction/réhabilitation ,"Génie, construction navale ",La capacité de construire diverses installations en soutien direct des opérations navales ,
114,REC/PROCUR,Activités de reconstruction/réhabilitation ,Approvisionnement ,Acheter tout ce qui est nécessaire pour accomplir une action particulière ,
115,REC/PRVACC,Activités de reconstruction/réhabilitation ,Fourniture d'hébergement ,"Fournir un espace pour recevoir des personnes, en particulier un lieu de vie ou de logement ",
116,REC/PRVAGR,Activités de reconstruction/réhabilitation ,Fourniture de soutien agricole ,Fournir des conseils ou des fournitures pour cultiver le sol et élever des animaux.,
117,REC/PRVBDD,Activités de reconstruction/réhabilitation ,Fourniture de literie ,"Fournir de l'espace pour accueillir des personnes, notamment un lieu de vie ou de logement.",
118,REC/PRVCMP,Activités de reconstruction/réhabilitation ,Fourniture de camps ,"Fournir un logement temporaire de divers types, généralement constitué de huttes ou de tentes, pour les détenus, les personnes sans-abri et d'autres utilisations d'urgence.",
119,REC/PRVCNS,Activités de reconstruction/réhabilitation ,Fourniture de services de construction ,Fournir de la main-d'œuvre et du matériel pour la construction d'installations.,
120,REC/PRVDCN,Activités de reconstruction/réhabilitation ,Fourniture de services de décontamination ,Fournir la purification de différents articles contaminés.,
121,REC/PRVEDU,Activités de reconstruction/réhabilitation ,Fourniture de services éducatifs ,Fournir de la main-d'œuvre et du matériel pour le processus éducatif.,
122,REC/PRVHLT,Activités de reconstruction/réhabilitation ,Fourniture de services de santé ,Fournir de la main-d'œuvre et du matériel pour le maintien de la santé et du bien-être général.,
123,REC/PRVHSN,Activités de reconstruction/réhabilitation ,Fourniture de soutien de la nation hôte ,"Fournir une assistance civile et/ou militaire fournie par une nation aux forces étrangères sur son territoire en temps de paix, en temps de crise ou d'urgence, ou en temps de guerre, sur la base d'accords mutuellement conclus entre les nations.",
124,REC/PRVINF,Activités de reconstruction/réhabilitation ,Fourniture d'infrastructures ,"Fournir des installations de base telles que des routes, des ponts et des égouts.",
125,REC/PRVLND,Activités de reconstruction/réhabilitation ,Fourniture de services de blanchisserie.,Fournir de la main-d'œuvre et du matériel pour le lavage de vêtements ou de linge.,
126,REC/PRVRPR,Activités de reconstruction/réhabilitation ,Fourniture de services de réparation ,Fournir de la main-d'œuvre et du matériel pour remettre des objets en bon état.,
127,REC/PRVSCY,Activités de reconstruction/réhabilitation ,Fourniture de services de sécurité ,Fournir de la main-d'œuvre et du matériel pour assurer la sécurité du personnel et des installations.,
128,REC/PRVSHL,Activités de reconstruction/réhabilitation ,Fourniture d'abris ,Fournir un logement.,
129,REC/PRVSTG,Activités de reconstruction/réhabilitation ,Fourniture de services de stockage ,Fournir des services de stockage.,
130,REC/PRVTRS,Activités de reconstruction/réhabilitation ,Fourniture de services de transbordement ,Fournir le mouvement de marchandises d'un navire ou d'un train à un autre pour un autre envoi.,
131,REC/PSO,Activités de reconstruction/réhabilitation ,Soutien à la paix ,La capacité à mener des opérations multifonctionnelles impliquant des forces militaires et des agences diplomatiques et humanitaires. Les opérations sont conçues pour atteindre des objectifs humanitaires ou un règlement pacifique à long terme.,
132,REC/SPLLDB,Activités de reconstruction/réhabilitation ,Approvisionnement en blanchisserie/bain ,La capacité à fournir des services de blanchisserie et/ou de bain.,
133,REC/SPLWAT,Activités de reconstruction/réhabilitation ,Approvisionnement en eau ,La capacité à fournir de l'eau potable.,
134,REC/UTILTY,Activités de reconstruction/réhabilitation ,Utilité ,"La capacité à fournir des services publics (eau, gaz, électricité, etc.).",
135,REC/WATER,Activités de reconstruction/réhabilitation ,Purification de l'eau ,La capacité à fournir de l'eau potable propre pour la boisson et la baignade.,
136,RSC/COVERN,Activités de reconstruction/réhabilitation ,Couverture ,Opérer en tant que force distincte de la force principale pour protéger la force principale en gagnant du temps tout en observant et en rapportant des informations et en empêchant l'observation ennemie du feu direct contre la force principale.,
137,RSC/FRFGTN,Activités de reconstruction/réhabilitation ,Lutte contre l'incendie ,L'activité d'extinction des incendies.,
138,RSC/MEDEVC,Activités de reconstruction/réhabilitation ,Évacuation médicale ,Le processus de déplacement de toute personne blessée ou malade vers/entre les installations de traitement médical.,
139,RSC/SAR,Activités de reconstruction/réhabilitation ,Recherche et sauvetage ,"La capacité à utiliser des aéronefs, des navires, des sous-marins, des équipes de sauvetage spécialisées et de l'équipement pour rechercher et secourir des personnes en détresse sur terre ou en mer.",
140,SAV/AR,Activités de sauvetage ,Sauvetage en ambulance ,Sauvetage effectué par le personnel du service d'ambulance.,
141,SAV/ASC,Activités de sauvetage ,Assistance et soutien aux victimes ,"Soins donnés aux victimes, tels que les premiers secours.",
142,SAV/RHD,Activités de sauvetage ,Sauvetage en hauteur et en profondeur ,Unités de sauvetage spécialisées utilisant un équipement sur mesure.,
143,SAV/RTA,Activités de sauvetage ,Sauvetage dans les accidents de la route ,Opérations de sauvetage d'urgence impliquant des victimes d'accidents de véhicules.,
144,SAV/SARCSL,Activités de sauvetage ,Recherche et sauvetage en cas de structures effondrées et de glissements de terrain ,Opérations de recherche et de sauvetage dans des structures effondrées et des glissements de terrain.,
145,SAV/SARHHA,Activités de sauvetage ,Recherche et sauvetage en atmosphères chaudes et dangereuses ,Procédures de recherche et de sauvetage d'urgence.,
146,SAV/SRW,Activités de sauvetage ,Recherche et sauvetage en eau ,Opérations de recherche et de sauvetage d'urgence impliquant de l'eau.,
147,SAV/USAR,Activités de sauvetage ,Recherche et sauvetage urbain (USAR) ,,
148,SAV/UW,Activités de sauvetage ,Sauvetage sous-marin ,Sauvetages impliquant l'utilisation d'équipes spécialisées et d'équipement tels que des plongeurs.,
149,SCS/EDU,Soutenir la sécurité communautaire ,Prévention des incendies et éducation du public à la sécurité incendie ,Système de structure de prévention des incendies et d'éducation du public en matière de sécurité incendie.,
150,SOC/CNDCNF,Activités sociales et de communication médiatique ,Organisation de conférences ,"Mener une réunion de discussion, en particulier une réunion régulière organisée par une association ou une organisation.",
151,SOC/CNDMED,Activités sociales et de communication médiatique ,Interviews avec les médias ,"Mener une conversation entre un journaliste, etc., et une personne d'intérêt public, utilisée comme base d'une diffusion ou d'une publication.",
152,SOC/CNDRCR,Activités sociales et de communication médiatique ,Organisation d'activités récréatives ,Mener une activité rafraîchissante ou divertissante.,
153,SOC/CNDSCL,Activités sociales et de communication médiatique ,Organisation d'événements sociaux ,"Mener une réunion sociale, en particulier celle organisée par un club ou une congrégation.",
154,SOC/CNDSPT,Activités sociales et de communication médiatique ,Organisation d'événements sportifs ,"Mener un jeu ou une activité compétitive, en particulier une activité en plein air impliquant un effort physique, comme le cricket, le football, la course, la chasse, etc.",
155,SOC/ISSMDA,Activités sociales et de communication médiatique ,Publication d'articles dans les médias ,"Diffuser, publier ou mettre en circulation un essai non-fictionnel, en particulier un essai inclus avec d'autres dans un journal, un magazine ou un journal.",
156,SOC/ISSMDD,Activités sociales et de communication médiatique ,Réalisation de documentaires médiatiques ,"Diffuser, publier ou mettre en circulation un document sur un support médiatique qui fournit un enregistrement ou un rapport factuel.",
157,SOC/ISSPRS,Activités sociales et de communication médiatique ,Publication de communiqués de presse ,"Diffuser, publier ou mettre en circulation une déclaration officielle émise à l'attention des médias pour information.",
158,SOC/MN,Activités sociales et de communication médiatique ,Cérémonie ou défilé ,La réunion formelle d'un groupe de personnes dans le but d'accomplir un acte ou une série d'actes prescrits par un protocole rituel ou une convention.,
159,SOC/PUBMDA,Activités sociales et de communication médiatique ,Publication d'articles dans les médias ,"Rendre généralement connu un essai non-fictionnel, en particulier un essai inclus avec d'autres dans un journal, un magazine, un journal, etc.",
160,SOC/PUBMDD,Activités sociales et de communication médiatique ,Réalisation de documentaires médiatiques ,Rendre généralement connu un document publié sur un support médiatique qui fournit un enregistrement ou un rapport factuel.,
161,SOC/PUBPRS,Activités sociales et de communication médiatique ,Publication de communiqués de presse.,Rendre généralement connue une déclaration officielle émise à l'attention des médias pour information.,
