,code,label_n1,label_n2,description,commentaire
0,C2,Commande et contrôle ,Commande et contrôle ,Commande et contrôle,
1,CBRN,"Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ","Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ","Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires",
2,FF,Mission de lutte contre l'incendie ,Mission de lutte contre l'incendie ,Missions de lutte contre l'incendie,
3,FSTT,Intervention technique des services d'incendie ,Intervention technique des services d'incendie ,Intervention technique des services d'incendie,
4,GEN,Activités génériques ,Activités génériques ,Activités génériques,
5,INT,Renseignement ,Renseignement ,Renseignement,
6,MAC,Coopération multi-agences ,Coopération multi-agences ,Coopération multi-agences,
7,MIL,Activités militaires ,Activités militaires ,Activités militaires,
8,NET,Activités de réseau et de télécommunication ,Activités de réseau et de télécommunication ,Activités de réseau et de télécommunication,
9,OPR,Utilisation des ressources opérationnelles ,Utilisation des ressources opérationnelles ,Utilisation des ressources opérationnelles,
10,POL,Activités de police ,Activités de police ,Activités de police,
11,REC,Activités de reconstruction/réhabilitation ,Activités de reconstruction/réhabilitation ,Activités de reconstruction/réhabilitation,
12,RSC,Activités de sauvetage ,Activités de sauvetage ,Activités de sauvetage,
13,SAV,Sauver et secourir des vies en danger ,Sauver et secourir des vies en danger ,Sauver et secourir des vies en danger,
14,SCS,Soutenir la sécurité communautaire ,Soutenir la sécurité communautaire ,Soutenir la sécurité communautaire,
15,SOC,Activités sociales et de communication médiatique ,Activités sociales et de communication médiatique ,Activités sociales et de communication médiatique,
16,C2/DEBRIF,Commande et contrôle ,Débriefing ,"Un examen de la réponse à un incident par l'ensemble des agences impliquées peut être désigné comme un ""débriefing à chaud"" ayant lieu sur le lieu de l'incident avant que les ressources aient quitté la scène.",
17,C2/DNRSKA,Commande et contrôle ,Évaluation dynamique des risques ,Une évaluation du niveau de risque à différentes étapes d'un incident d'urgence.,
18,C2/INASSM,Commande et contrôle ,Évaluation initiale ,"Partie du processus d'évaluation du risque ""dynamique"" réalisée par le commandant des opérations lors de la première intervention.",
19,C2/OIC,Commande et contrôle ,Commande opérationnelle de l'incident ,Système de travail sûr utilisé pour gérer un incident d'urgence.,
20,C2/POA,Commande et contrôle ,Actions post-incident ,Activités suivant un incident telles que l'enquête.,
21,C2/THRTAS,Commande et contrôle ,Évaluation des menaces ,Une composante du processus d'évaluation du risque qui identifie les menaces évaluées pour des actions futures.,
22,CBRN/CBRNCH,"Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ","CBRN, décontamination chimique ","La capacité de rendre toute personne, objet ou zone sécurisé en absorbant, détruisant, neutralisant, rendant inoffensif ou en éliminant les agents chimiques.",
23,CBRN/CBRNDC,"Activités liées aux substances chimiques, bactériologiques, radioactives et nucléaires ","CBRN, décontamination ","La capacité de rendre toute personne, objet ou zone sécurisé en absorbant, détruisant, neutralisant, rendant inoffensif ou en éliminant les agents chimiques ou biologiques, ou en éliminant les matières radioactives collant à celles-ci ou à leur environnement.",
