,code,label_n1,label_n2,description,commentaire
0,COAST,Zone côtière,,"La terre adjacente à la mer, le rivage.",
1,INW,Voie navigable intérieure,,"Un plan d'eau, tel qu'une rivière, un canal ou un lac. Il peut être navigable s'il est suffisamment profond et large pour qu'un navire puisse passer sans obstacles.",
2,NAT,Environnement naturel/rural,,Environnement naturel/rural,
3,OSEA,Haute mer,,Haute mer,
4,OTH,Autre,,Autre,
5,PRIVAT,Privé,,"L'emplacement de l'événement est une propriété privée, ce qui signifie que l'accès à l'emplacement peut nécessiter l'autorisation du propriétaire.",
6,RAIL,Infrastructure ferroviaire,,Infrastructure ferroviaire,
7,ROAD,Infrastructure routière,,"Surface lissée ou pavée, conçue pour le déplacement par véhicule motorisé et autres véhicules.",
8,UDGN,Souterrain,,Lieu souterrain,
9,URB,Zone urbaine,,Lieu en zone urbaine,
10,COAST/BNK,Zone côtière,Plage/bord de l'eau,Limite entre la terre et l'eau,
11,COAST/CLF,Zone côtière,Falaise,"Soit l'incident se trouve sur la falaise, soit sur une bande étroite entre la falaise et l'eau.",
12,COAST/CSTW,Zone côtière,Eaux côtières,"La mer, mais avec des dangers potentiels de navigation. Entre la haute mer et la terre.",
13,COAST/EST,Zone côtière,Estuaire,"Eau libre, mais avec des dangers de navigation dépendant des marées. Eaux de marée à l'embouchure d'une rivière ou d'un fjord.",
14,COAST/FEN,Zone côtière,Fen,Un accès en bateau est probablement nécessaire dans les zones humides avec de l'eau libre.,
15,INW/BOG,Voie navigable intérieure,Marais,Accès difficile aux zones humides avec peu d'eau libre.,
16,INW/CAN,Voie navigable intérieure,Canal,"Voie navigable, potentiellement avec un accès en bord de l'eau. Voie navigable artificielle.",
17,INW/ICELK,Voie navigable intérieure,Lac gelé,Lac ou étang recouvert de glace,
18,INW/LKE,Voie navigable intérieure,Lac,"Lac ou étang, y compris un loch et une mer intérieure",
19,INW/RIV,Voie navigable intérieure,Rivière,Traversée limitée par des ponts ou en bateau. Supérieure à 5 mètres.,
20,NAT/CRP,Environnement naturel/rural,Culture,Terres arables,
21,NAT/GRS,Environnement naturel/rural,Prairie,"Pâturages et prairies ouvertes, y compris les parcs.",
22,NAT/HFR,Environnement naturel/rural,Forêt dense,"Caractérisée par une forêt dense, avec des arbres généralement de plus de 20 mètres. Accès par la route uniquement.",
23,NAT/HLS,Environnement naturel/rural,Coteau,Zones montagneuses avec un accès routier limité,
24,NAT/HMT,Environnement naturel/rural,Haute montagne,Montagne au-dessus de la zone accessible par un véhicule,
25,NAT/LMT,Environnement naturel/rural,Versant de montagne,Zones montagneuses avec un accès routier limité,
26,NAT/SSSI,Environnement naturel/rural,Sites d'intérêt scientifique,Sites désignés d'intérêt scientifique spécial (SDISS),
27,OSEA/OFF,Haute mer,,"L'installation est en mer, y compris les plates-formes pétrolières et gazières, les plates-formes d'hébergement associées. Également des jetées.",
28,OTH/CUT,Autre,Découpe,"Accès limité sur le côté, peut présenter un risque d'incendie. Une route, une voie ferrée ou un canal en contrebas du niveau du sol.",
