,code,label_n1,label_n2,description,commentaire
29,OTH/ELV,Autre,Section surélevée,"Pas d'accès sur les côtés. Une route, une voie ferrée ou un canal surélevé par rapport au niveau du sol normal par un pont ou un viaduc.",
30,OTH/EMB,Autre,Section surélevée par remblai,"L'accès est limité sur le côté, peut présenter un risque d'incendie. Une route, une voie ferrée ou un canal surélevé par un remblai.",
31,OTH/LFR,Autre,Bois,Caractérisée par une forêt ouverte. Peu d'accès pour les véhicules hors route.,
32,OTH/SRB,Autre,Broussaille,Caractérisée par des buissons et des arbres occasionnels. Accès limité potentiel pour les véhicules.,
33,PRIVAT/OWNRSC,Privé,,"Propriété privée appartenant à une organisation qui possède une équipe de secours privée (par exemple, un site industriel avec un service d'incendie interne).",
34,RAIL/TRK,Voie ferrée,,La voie ferrée limite l'accès sur les côtés et est difficile à parcourir. Une voie ferrée à écartement standard.,
35,ROAD/1RD,Infrastructure routière,Route à sens unique,"Route à sens unique, limitant la direction d'accès. Une route à sens unique (qui ne fait pas partie d'une voie à double sens), y compris les bretelles d'accès sur les échangeurs.",
36,ROAD/DCA,Infrastructure routière,Voie à double sens,"Voie à double sens, y compris une autoroute ou une autoroute de manière à ce que l'approche soit dans une direction appropriée. Une route divisée en deux, de sorte que la traversée des voies n'est pas pratique.",
37,ROAD/NOR,Infrastructure routière,Terrain libre,"Zone sans route ou chemin, mais pouvant être accessible en partie à la plupart des véhicules. Une zone que les véhicules routiers peuvent être en mesure de traverser, mais sans route ou chemin.",
38,ROAD/PTH,Infrastructure routière,Chemin,Sentier pédestre. Un itinéraire inadapté aux véhicules routiers.,
39,ROAD/RRD,Infrastructure routière,Route restreinte,"Route non adaptée à tous les véhicules, par exemple en raison d'un pont bas. Une route avec une restriction notifiée sur la circulation, telle qu'une restriction de hauteur, une restriction de poids, etc.",
40,ROAD/SRD,Infrastructure routière,Route secondaire,"Route secondaire qui peut limiter l'accès aux gros véhicules, au trafic ou empêcher les véhicules de tourner. Une route qui est limitée par sa largeur, ou, dans les zones urbaines, par des voitures garées, de sorte que la circulation dans un sens doit permettre à la circulation dans l'autre sens de passer.",
41,ROAD/TRK,Infrastructure routière,Chemin de roulement,"Hors route, mais avec une surface dure pour les véhicules. Un chemin non goudronné qui est praticable par des véhicules légers.",
42,UDGN/MIN,Souterrain,Mine,"Travaux souterrains, éventuellement abandonnés",
43,UDGN/TUN,Souterrain,Tunnel,"Tunnel. Une route, une voie ferrée ou un canal dans un tunnel.",
44,UDGN/UND,Souterrain,Bâtiment souterrain,Bâtiment souterrain/zone commerciale/industrielle,
45,URB/ASR,Zone urbaine,Zone d'assemblage,Une zone d'assemblage ou récréative,
46,URB/HOSP,Zone urbaine,Hôpital,"Établissement de santé (hôpital, maison de retraite, etc.)",
47,URB/IND,Zone urbaine,Zone industrielle,Zone industrielle,
48,URB/MALL,Zone urbaine,Centre commercial,L'emplacement de l'événement est un centre commercial,
49,URB/OFF,Zone urbaine,Zone de bureaux,Zone de bureaux,
50,URB/PRK,Zone urbaine,Emplacement de parc,Emplacement de parc,
51,URB/RES,Zone urbaine,Zone résidentielle,"Zone résidentielle (maison, habitation résidentielle, etc.)",
52,URB/STRT,Zone urbaine,Rue,"Zone publique (rue, par exemple)",
