,code,label_n1,label_n2,description,commentaire
0,LSV,"Unités de longueur, surface et volume",,"Unités de longueur, surface et volume",
1,OTH,Autres unités,,Autres unités,
2,PKG,Unités de conditionnement,,Unités de conditionnement,
3,TIM,Unités de date et heure,,Unités de date et heure,
4,WGT,Unités de poids,,Unités de poids,
5,LSV/CM,"Unités de longueur, surface et volume",Mètre cube,Une unité internationale standard,
6,LSV/CMH,"Unités de longueur, surface et volume",Mètre cube(s) par heure,Unités de mètres cubes divisés par le temps écoulé en heures,
7,LSV/CNTLTR,"Unités de longueur, surface et volume",Centilitre,Une unité internationale standard de capacité dans le système métrique,
8,LSV/DEG,"Unités de longueur, surface et volume",Degré,Un des 360 segments égaux d'un cercle,
9,LSV/HCTLTR,"Unités de longueur, surface et volume",Hectolitre,Une unité internationale standard de capacité dans le système métrique,
10,LSV/HCTMTR,"Unités de longueur, surface et volume",Hectomètre,Une unité internationale standard de surface dans le système métrique,
11,LSV/KM,"Unités de longueur, surface et volume",Kilomètre,1 000 mètres,
12,LSV/KPH,"Unités de longueur, surface et volume",Kilomètre(s) par heure,Unités de 1 000 mètres divisés par le temps écoulé en heures,
13,LSV/LI,"Unités de longueur, surface et volume",Litre,Une unité internationale standard de capacité dans le système métrique,
14,LSV/LTPRHR,"Unités de longueur, surface et volume",Litre(s) par heure,Unités de litres divisés par le temps écoulé en heures,
15,LSV/LTPRMN,"Unités de longueur, surface et volume",Litre(s) par minute,Unités de litres divisés par le temps écoulé en minutes,
16,LSV/METRE,"Unités de longueur, surface et volume",Mètre,Une unité internationale standard de longueur dans le système métrique,
17,LSV/MILLTR,"Unités de longueur, surface et volume",Millilitre,Une unité internationale standard de capacité dans le système métrique,
18,LSV/MILMTR,"Unités de longueur, surface et volume",Millimètre,Une unité internationale standard de surface dans le système métrique,
19,LSV/SMH,"Unités de longueur, surface et volume",Mètre carré(s) par heure,Unités de mètres carrés divisés par le temps écoulé en heures,
20,LSV/SQM,"Unités de longueur, surface et volume",Mètre carré,Une unité internationale standard de surface dans le système métrique,
21,OTH/COIL,Autres unités,Bobine,Une série d'anneaux ou de spirales connectés,
22,OTH/DOZEN,Autres unités,Douzaine,Un ensemble de 12,
23,OTH/EA,Autres unités,Chacun,Individuellement,
24,OTH/GROSS,Autres unités,Brut,Un groupe de 144,
25,OTH/MANHUR,Autres unités,Heure de travail,Une heure considérée en termes de la quantité de travail qu'une personne peut accomplir pendant cette période.,
26,OTH/MHPRHR,Autres unités,Heure de travail(s) par heure,Unités d'heures de travail divisées par le temps écoulé en heures,
27,PKG/BALE,Unités de conditionnement,Balle,Un gros paquet de matériel souvent enveloppé,
28,PKG/BARREL,Unités de conditionnement,Baril,Un grand conteneur cylindrique ayant un dessus et un fond plats de diamètre égal.,
29,PKG/BLK,Unités de conditionnement,En vrac,Distribué en masse (généralement pour les liquides).,
30,PKG/BOX,Unités de conditionnement,Boîte,Un conteneur rectangulaire ayant généralement un couvercle.,
31,PKG/CASE,Unités de conditionnement,Caisse,Un conteneur.,
32,PKG/CONTNR,Unités de conditionnement,Conteneur,Un récipient pour contenir ou transporter des matériaux,
33,PKG/CRATE,Unités de conditionnement,Caisse,"Un conteneur, comme une caisse en bois à lattes.",
34,PKG/DRM,Unités de conditionnement,Tonneau,Un récipient pour contenir ou transporter des matériaux ou des liquides,
35,PKG/JERCAN,Unités de conditionnement,Jerrican,Un récipient qui contient 20 litres,
36,PKG/PAK,Unités de conditionnement,Sac,Sac pour transporter l'équipement personnel,
37,PKG/PAL,Unités de conditionnement,Palette,Distribué en unités de palettes standard de l'OTAN,
38,PKG/RATION,Unités de conditionnement,Ration,Une portion fixe,
39,TIM/DAY,Unités de date et heure,Jour,La date et l'heure sont définies avec une précision d'une journée,
40,TIM/HR,Unités de date et heure,Heure,Une unité de durée de 3 600 secondes,
41,TIM/MINUTE,Unités de date et heure,Minute,Une unité internationale standard de temps.,
42,TIM/MON,Unités de date et heure,Mois,La date et l'heure sont définies avec une précision d'un mois.,
43,TIM/SECOND,Unités de date et heure,Seconde,Une unité internationale standard de temps.,
44,TIM/WEK,Unités de date et heure,Semaine,La date et l'heure sont définies avec une précision d'une semaine.,
45,TIM/YEA,Unités de date et heure,An,La date et l'heure sont définies avec une précision d'un an.,
46,WGT/CNTGRM,Unités de poids,Centigramme,Une unité internationale standard,
47,WGT/GRAM,Unités de poids,Gramme,Une unité métrique de masse et de poids équivalente à 1 000e de kilogramme,
48,WGT/KG,Unités de poids,Kilogramme,1 000 grammes,
49,WGT/KGH,Unités de poids,Kilogramme(s) par heure,Unités de 1 000 grammes divisées par le temps éc,
