,code,label_n1,label_n2,label_n3,description,commentaire
0,M08.00.00,Personne inconsciente ,,,,
1,M08.01.00,,Personne en arrêt ventilatoire,,,
2,M08.02.00,,Personne en arrêt cardio-respiratoire,,,
3,M08.03.00,,Personne inconsciente qui respire,,,
4,M09.00.00,Hémorragies / Saignements ,,,,
5,M09.01.00,,Hémorragie ne pouvant être stoppée,,,
6,M09.01.01,,,Epitaxis non stoppée par compression,,
7,M09.02.00,,Hémorragie extériorisée,,,
8,M09.02.01,,,Hémorragie digestive (haute ou basse) extériorirée,,
9,M09.02.02,,,Hémorragie extériorisée avec malaise ,,
10,M09.02.03,,,Crache du sang hémoptysie,,
11,M09.02.04,,,Saignement stoppé par compression,,
12,M09.02.05,,,Epistaxis stoppée par compression,,
13,M09.03.00,,Saignements bénins,,,
14,M09.03.01,,,Saignement bénin sans signe de gravité identifié,,
15,M10.00.00,Problème circulatoire,,,,
16,M10.01.00,,Palpitations,,,
17,M10.02.00,,Autres troubles circulatoires,,,
18,M10.02.01,,,Patient/victime choquée par défibrillateur implanté,,
19,M10.02.02,,,Bradycardie < 50 ou tachycardie > 150,,
20,M10.02.03,,,Pression Artérielle < 90 mmHg,,
21,M10.02.04,,,Pression Artérielle > 160 mmHg,,
22,M10.02.05,,,Autre trouble sans signe de gravité,,
23,M11.00.00,Problème respiratoire,,,,
24,M11.01.00,,Détresse respiratoire,,,
25,M11.01.01,,,Détresse respiratoire avec asphyxie,"Moins de 4 syllabes ou mots courts, cyanose), ou obstruction complète",
26,M11.01.02,,,Epuisement respiratoire chez un nourrisson ,,
27,M11.02.00,,Difficultés respiratoires,,,
28,M11.02.01,,,Respiration bruyante,,
29,M11.02.02,,,Difficultés respiratoires avec sueurs ou altération de conscience,,
30,M11.02.03,,,Difficultés respiratoires sans signe de gravité,,
31,M11.03.00,,Autres problèmes respiratoires,,,
32,M11.03.01,,,Problème isolé d'appareillage respiratoire ou canule ,,
33,M11.03.02,,,Corps étranger expulsé des poumons,,
34,M11.03.03,,,Problème respiratoire avec obstruction partielle,,
35,M11.03.04,,,Autres problème respiratoire sans signe de gravité,,
36,M12.00.00,Problème neurologique,,,,
37,M12.01.00,,Suspicion AVC / AIT,,,
38,M12.01.01,,,Suspicion AVC / AIT avec trouble de conscience ,,
39,M12.01.02,,,Suspicion AVC / AIT sans céphalée ou vomissement ni trouble de la conscience,,
40,M12.01.03,,,Suspicion AVC / AIT avec disparition des signes d'AVC à l'appel,,
41,M12.02.00,,Convulsions persistantes,,,
42,M12.03.00,,Convulsion ,,,
43,M12.03.01,,,Convulsions chez une femme enceinte ,,
44,M12.03.02,,,Convulsions avec fièvre chez l'enfant,,
45,M12.03.03,,,En cours de réveil après convulsions,,
46,M12.04.00,,Trouble de la conscience ,,,
47,M12.04.01,,,Trouble de la conscience chez un diabétique,,
48,M12.04.02,,,Trouble de la conscience avec perte de connaissance initiale,,
49,M12.04.03,,,Somnolent et capable de parler ou de répondre à des ordres simples,,
50,M12.04.04,,,"Confusion, désorientation",,
51,M12.04.05,,,Autre trouble de la conscience sans signe de gravité,,
52,M12.05.00,,Malaise,,,
53,M12.05.01,,,Malaise sans signe de gravité,,
54,M12.05.02,,,Malaise au cours d'un effort,,
55,M12.05.03,,,Malaise avec perte de connaissance initiale,,
56,M12.05.04,,,Malaise avec trouble de la conscience,,
57,M12.06.00,,Autre motif neurologique ,,,
58,M12.06.01,,,Céphalées isolées,,
59,M12.06.02,,,Céphalées avec vomissement,,
60,M12.06.03,,,Autre motif neurologique sans signe de gravité,,
61,M13.00.00,Traumatisme,,,,
62,M13.01.00,,Personne restant à terre suite à une chute,,,
63,M13.02.00,,Polytraumatisme / traumatisme sévère,,,
64,M13.03.00,,Traumatisme tête / cou,,,
65,M13.03.01,,,Traumatisme tête / cou avec perte de connaissance initiale ou troubles de la conscience,,
66,M13.03.02,,,Traumatisme tête / cou sans signe de gravité,,
67,M13.04.00,,Traumatisme thorax,,,
68,M13.04.01,,,Traumatisme thorax avec gêne respiratoire,,
69,M13.04.02,,,Traumatisme thorax sans signe de gravité,,
70,M13.05.00,,Traumatisme abdomen / bassin,,,
71,M13.05.01,,,Traumatisme abdomen / bassin violent,,
72,M13.05.02,,,Traumatisme abdomen / bassin sans signe de gravité,,
73,M13.06.00,,Traumatisme membres,,,
74,M13.06.01,,,Traumatisme membre avec amputation,,
75,M13.06.02,,,Fracture ouverte de membre,,
76,M13.06.03,,,Fracture fermée de membre,,
77,M13.06.04,,,Traumatisme avec déformation de membre,,
78,M13.06.05,,,Traumatisme de membres sans signe de gravité,,
79,M13.07.00,,Traumatisme doigts - orteils,,,
80,M13.07.01,,,Traumatisme doigts / orteils avec amputation,,
81,M13.07.02,,,Fracture ouverte de doigts / orteils ,,
82,M13.07.03,,,Fracture fermée doigts / orteils ,,
83,M13.07.04,,,Traumatisme doigts / orteils  avec déformation,,
84,M13.07.05,,,Traumatisme doigts / orteils  sans signe de gravité,,
85,M14.00.00,Plaies,,,,
86,M14.01.00,,Plaie pénétrante,,,
87,M14.01.01,,,Plaie pénétrante étendue,,
88,M14.01.02,,,Plaies pénétrantes multiples,,
89,M14.01.03,,,Plaie grave du crâne (scalp),,
90,M14.01.04,,,Plaie grave du visage,,
91,M14.01.05,,,Plaie grave du cou,,
92,M14.01.06,,,Plaie grave du thorax - abdomen,,
