,code,label_n1,label_n2,label_n3,description,commentaire
93,M14.01.07,,,Plaie grave avec pâleur/soif/prostration,,
94,M14.02.00,,Morsure,,,
95,M14.02.01,,,Morsure grave,,
96,M14.02.02,,,Morsure sans signe de gravité,,
97,M15.00.00,Brûlures,,,,
98,M15.01.00,,Brûlure thermique,,,
99,M15.01.01,,,Brûlure thermique grave (étendue / circulaire / tronc / face / cou),,
100,M15.01.02,,,Brûlure thermique à l'œil,,
101,M15.01.03,,,Brûlure thermique sans signe de gravité,,
102,M15.02.00,,Brûlure chimique,,,
103,M15.02.01,,,Brûlure chimique grave (étendue / circulaire / tronc / face / cou),,
104,M15.02.02,,,Brûlure à l'œil,,
105,M15.02.03,,,Brûlure chimique sans signe de gravité,,
106,M15.03.00,,Gelure,,,
107,M15.03.01,,,Gelure grave,,
108,M15.03.02,,,Gelure sans signe de gravité,,
109,M16.00.00,Intoxication,,,,
110,M16.01.00,,Intoxication au CO / fumées,,,
111,M16.01.01,,,Intoxication au CO / fumées avec convulsions / troubles de la conscience,,
112,M16.01.02,,,"Intoxication au CO / fumées avec vomissements, céphalées",,
113,M16.01.03,,,Intoxication au CO / fumées sans signe de gravité,,
114,M16.02.00,,Intoxication éthylique / prise de stupéfiants ,,,
115,M16.02.01,,,Intoxication éthylique / prise de stupéfiants avec convulsions ou coma,,
116,M16.02.02,,,Intoxication éthylique / prise de stupéfiants avec somnolence,,
117,M16.02.03,,,Intoxication éthylique / prise de stupéfiants sans signe de gravité,,
118,M16.03.00,,Intoxication médicamenteuse ,,,
119,M16.03.01,,,Intoxication médicamenteuse avec convulsions ou coma,,
120,M16.03.02,,,Intoxication médicamenteuse avec détresse respiratoire ,,
121,M16.03.03,,,Intoxication médicamenteuse avec somnolence,,
122,M16.03.04,,,Intoxication médicamenteuse sans signe de gravité,,
123,M16.04.00,,Intoxication chimique / venimeuse,,,
124,M16.04.01,,,Intoxication chimique / venimeuse avec convulsions / troubles de la conscience,,
125,M16.04.02,,,Intoxication chimique / venimeuse avec détresse respiratoire ou toux,,
126,M16.04.03,,,Intoxication chimique / venimeuse sans signe de gravité,,
127,M17.00.00,Douleurs,,,,
128,M17.01.00,,Céphalées,,,
129,M17.01.01,,,Céphalées avec troubles de conscience,,
130,M17.01.02,,,Céphalées chez la femme enceinte,,
131,M17.01.03,,,Céphalées sans signe de gravité,,
132,M17.02.00,,Douleurs abdominales ,,,
133,M17.02.01,,,Douleurs abdominales sans signe de gravité,,
134,M17.03.00,,Douleur thoracique ,,,
135,M17.03.01,,,Douleur thoracique  -  cas d'usage n°1,,
136,M17.03.02,,,Douleur thoracique  -  cas d'usage n°2,,
137,M17.03.03,,,Douleur thoracique  - cas d'usage n°3,,
138,M17.04.00,,Douleurs ostéoarticulaires ,,,
139,M17.04.01,,,Douleurs ostéoarticulaires ou de membre,,
140,M17.04.02,,,Douleur ostéoarticulaire sans signe de gravité,,
141,M17.05.00,,Autres douleurs ,,,
142,M17.05.01,,,Douleurs dentaires,,
143,M17.05.02,,,Douleurs oculaires,,
144,M17.05.03,,,Douleurs ORL (nez / gorge / oreilles),,
145,M17.05.04,,,Autres douleurs sans signe de gravité,,
146,M18.00.00,Accouchement / problème obstétrique,,,,
147,M18.01.00,,Accouchement réalisé ou imminent,,,
148,M18.01.01,,,Accouchement imminent avec bébé visible,,
149,M18.01.02,,,Accouchement réalisé,,
150,M18.01.03,,,Accouchement imminent - Sent le bébé descendre ou envie de pousser,,
151,M18.01.04,,,Accouchement imminent - Contractions < 5 min avec ou sans perte des eaux,,
152,M18.01.05,,,Accouchement imminent - Contractions entre 5 et 10 min avec ou sans perte des eaux,,
153,M18.01.06,,,Accouchement imminent - Perte des eaux,,
154,M18.01.07,,,Accouchement imminent - Contractions et hémorragies,,
155,M18.02.00,,Autre problème obstétrical ,,,
156,M18.02.01,,,Saignement / hémorragie au décours d'une grossesse,,
157,M18.02.02,,,Douleurs abdominales chez une femme enceinte,,
158,M18.02.03,,,Autre problème obstétrical  avec saignement / hémorragie ,,
159,M18.02.04,,,Problème obstétrical avec anomalie de résultat biologique,,
160,M18.02.05,,, Autre problème obstétrical sans signe de gravité,,
161,M19.00.00,Autres affections,,,,
162,M19.01.00,,Accident exposition aux risques biologiques,,,
163,M19.02.00,,Allergies,,,
164,M19.02.01,,,"Allergies avec gonflement du visage, du cou ou modification de la voix",,
165,M19.02.02,,,Allergies avec sensation de malaise / problème digestif,,
166,M19.02.03,,,Allergies avec éruption généralisée,,
167,M19.02.04,,,Allergies  avec perte de connaissance initiale ou altération de la inconscience,,
168,M19.02.05,,,Allergies avec difficultés respiratoires,,
169,M19.02.06,,,Allergies sans signe de gravité,,
170,M19.03.00,,Anomalie de la glycémie,,,
171,M19.04.00,,Demande de conseil médical ou ordonnance,,,
172,M19.05.00,,Fièvre,,,
173,M19.06.00,,Trouble digestif,,,
174,M19.06.01,,,Trouble digestif avec hémorragie digestive,,
175,M19.06.02,,,Trouble digestif avec trouble du transit (diarrhée / vomissement),,
176,M19.06.03,,,Problème de poche digestive,,
177,M19.06.04,,,Trouble digestif sans douleur,,
178,M19.06.05,,,Troubles digestifs sans signe de gravité,,
179,M19.07.00,,Problème psychiatrique / social,,,
180,M19.07.01,,,Misère physiologique ou incurie,,
181,M19.07.02,,,Agitation / crise nerveuse / comportement violent,,
182,M19.07.03,,,Etat de manque / Sevrage,,
183,M19.07.04,,,Problème social ou sanitaire,,
184,M19.08.00,,Problème infectieux,,,
185,M20.00.00,Décès certain,,,,
186,M20.01.00,,Corps en décomposition,,,
187,M20.02.00,,Décés déclaré par un professionnel de santé,,,
188,M20.03.00,,Rigidité cadavérique et corps froid,,,
189,M20.04.00,,Tête séparée du tronc,,,
