code;label_n1;description;commentaire
POINT;Point géographique unique;Point géographique unique;
CERCLE;Un cercle défini par le centre et n'importe quel point de la circonférence;Un cercle défini par le centre et n'importe quel point de la circonférence;
SURFACE;Une liste de points formant une ligne;Une liste de points formant une ligne;
GRID;Une surface fermée;Une surface fermée;
POLYGON;Une liste de points formant une ligne fermée;Une liste de points formant une ligne fermée;
ELLIPSE;Une ellipse définie par 3 points : la position des 2 foyers et une position sur le contour.;Une ellipse définie par 3 points : la position des 2 foyers et une position sur le contour.;
