,code,label_n1,Libellé niveau 2,Libellé niveau 3,description,commentaire
54,ha,Hausa,haoussa,,,
55,he,Hebrew,hébreu,,,
56,hi,Hindi,hindi,,,
57,ho,Hiri Motu,hiri motu,,,
58,hr,Croatian,croate,,,
59,ht,Haitian; Haitian Creole,haïtien; créole haïtien,,,
60,hu,Hungarian,hongrois,,,
61,hy,Armenian,arménien,,,
62,hz,Herero,herero,,,
63,ia,Interlingua (International Auxiliary Language Association),interlingua (langue auxiliaire internationale),,,
64,id,Indonesian,indonésien,,,
65,ie,Interlingue; Occidental,interlingue,,,
66,ig,Igbo,igbo,,,
67,ii,Sichuan Yi; Nuosu,yi de Sichuan,,,
68,ik,Inupiaq,inupiaq,,,
69,io,Ido,ido,,,
70,is,Icelandic,islandais,,,
71,it,Italian,italien,,,
72,iu,Inuktitut,inuktitut,,,
73,ja,Japanese,japonais,,,
74,jv,Javanese,javanais,,,
75,ka,Georgian,géorgien,,,
76,kg,Kongo,kongo,,,
77,ki,Kikuyu; Gikuyu,kikuyu,,,
78,kj,Kuanyama; Kwanyama,kuanyama; kwanyama,,,
79,kk,Kazakh,kazakh,,,
80,kl,Kalaallisut; Greenlandic,groenlandais,,,
81,km,Central Khmer,khmer central,,,
82,kn,Kannada,kannada,,,
83,ko,Korean,coréen,,,
84,kr,Kanuri,kanouri,,,
85,ks,Kashmiri,kashmiri,,,
86,ku,Kurdish,kurde,,,
87,kv,Komi,kom,,,
88,kw,Cornish,cornique,,,
89,ky,Kirghiz; Kyrgyz,kirghiz,,,
90,la,Latin,latin,,,
91,lb,Luxembourgish; Letzeburgesch,luxembourgeois,,,
92,lg,Ganda,ganda,,,
93,li,Limburgan; Limburger; Limburgish,limbourgeois,,,
94,ln,Lingala,lingala,,,
95,lo,Lao,lao,,,
96,lt,Lithuanian,lituanien,,,
97,lu,Luba-Katanga,luba-katanga,,,
98,lv,Latvian,letton,,,
99,mg,Malagasy,malgache,,,
100,mh,Marshallese,marshall,,,
101,mi,Maori,maori,,,
102,mk,Macedonian,macédonien,,,
103,ml,Malayalam,malayalam,,,
104,mn,Mongolian,mongol,,,
105,mr,Marathi,marathe,,,
106,ms,Malay,malais,,,
107,mt,Maltese,maltais,,,
108,my,Burmese,birman,,,
109,na,Nauru,nauruan,,,
110,nb,"Bokmål, Norwegian; Norwegian Bokmål",norvégien bokmål,,,
111,nd,"Ndebele, North; North Ndebele",ndébélé du Nord,,,
112,ne,Nepali,népalais,,,
113,ng,Ndonga,ndonga,,,
114,nl,Dutch; Flemish,néerlandais; flamand,,,
115,nn,"Norwegian Nynorsk; Nynorsk, Norwegian","norvégien nynorsk; nynorsk, norvégien",,,
116,no,Norwegian,norvégien,,,
117,nr,"Ndebele, South; South Ndebele",ndébélé du Sud,,,
118,nv,Navajo; Navaho,navaho,,,
119,ny,Chichewa; Chewa; Nyanja,chichewa; chewa; nyanja,,,
120,oc,Occitan (post 1500),occitan (après 1500),,,
121,oj,Ojibwa,ojibwa,,,
122,om,Oromo,galla,,,
123,or,Oriya,oriya,,,
124,os,Ossetian; Ossetic,ossète,,,
125,pa,Panjabi; Punjabi,pendjabi,,,
126,pi,Pali,pali,,,
127,pl,Polish,polonais,,,
128,ps,Pushto; Pashto,pachto,,,
129,pt,Portuguese,portugais,,,
130,qu,Quechua,quechua,,,
131,rm,Romansh,romanche,,,
132,rn,Rundi,rundi,,,
133,ro,Romanian; Moldavian; Moldovan,roumain; moldave,,,
134,ru,Russian,russe,,,
135,rw,Kinyarwanda,rwanda,,,
136,sa,Sanskrit,sanskrit,,,
137,sc,Sardinian,sarde,,,
138,sd,Sindhi,sindhi,,,
139,se,Northern Sami,sami du Nord,,,
140,sg,Sango,sango,,,
141,si,Sinhala; Sinhalese,singhalais,,,
142,sk,Slovak,slovaque,,,
143,sl,Slovenian,slovène,,,
144,sm,Samoan,samoan,,,
145,sn,Shona,shona,,,
146,so,Somali,somali,,,
147,sq,Albanian,albanais,,,
148,sr,Serbian,serbe,,,
149,ss,Swati,swati,,,
150,st,"Sotho, Southern",sotho du Sud,,,
151,su,Sundanese,soundanais,,,
152,sv,Swedish,suédois,,,
153,sw,Swahili,swahili,,,
154,ta,Tamil,tamoul,,,
155,te,Telugu,télougou,,,
156,tg,Tajik,tadjik,,,
157,th,Thai,thaï,,,
158,ti,Tigrinya,tigrigna,,,
159,tk,Turkmen,turkmène,,,
160,tl,Tagalog,tagalog,,,
161,tn,Tswana,tswana,,,
162,to,Tonga (Tonga Islands),tongan (Îles Tonga),,,
163,tr,Turkish,turc,,,
164,ts,Tsonga,tsonga,,,
165,tt,Tatar,tatar,,,
166,tw,Twi,twi,,,
167,ty,Tahitian,tahitien,,,
168,ug,Uighur; Uyghur,ouïgour,,,
169,uk,Ukrainian,ukrainien,,,
170,ur,Urdu,ourdou,,,
171,uz,Uzbek,ouszbek,,,
172,ve,Venda,venda,,,
173,vi,Vietnamese,vietnamien,,,
174,vo,Volapük,volapük,,,
175,wa,Walloon,wallon,,,
176,wo,Wolof,wolof,,,
177,xh,Xhosa,xhosa,,,
178,yi,Yiddish,yiddish,,,
179,yo,Yoruba,yoruba,,,
180,za,Zhuang; Chuang,zhuang; chuang,,,
181,zh,Chinese,chinois,,,
182,zu,Zulu,zoulou,,,
