,code,label_n1,Libellé niveau 2,Libellé niveau 3,description,commentaire
0,aa,Afar,afar,,,
1,ab,Abkhazian,abkhaze,,,
2,ae,Avestan,avestique,,,
3,af,Afrikaans,afrikaans,,,
4,ak,Akan,akan,,,
5,am,Amharic,amharique,,,
6,an,Aragonese,aragonais,,,
7,ar,Arabic,arabe,,,
8,as,Assamese,assamais,,,
9,av,Avaric,avar,,,
10,ay,Aymara,aymara,,,
11,az,Azerbaijani,azéri,,,
12,ba,Bashkir,bachkir,,,
13,be,Belarusian,biélorusse,,,
14,bg,Bulgarian,bulgare,,,
15,bi,Bislama,bichlamar,,,
16,bm,Bambara,bambara,,,
17,bn,Bengali,bengali,,,
18,bo,Tibetan,tibétain,,,
19,br,Breton,breton,,,
20,bs,Bosnian,bosniaque,,,
21,ca,Catalan; Valencian,catalan; valencien,,,
22,ce,Chechen,tchétchène,,,
23,ch,Chamorro,chamorro,,,
24,co,Corsican,corse,,,
25,cr,Cree,cree,,,
26,cs,Czech,tchèque,,,
27,cu,Church Slavic; Old Slavonic; Church Slavonic; Old Bulgarian; Old Church Slavonic,slavon d'église; vieux slave; slavon liturgique; vieux bulgare,,,
28,cv,Chuvash,tchouvache,,,
29,cy,Welsh,gallois,,,
30,da,Danish,danois,,,
31,de,German,allemand,,,
32,dv,Divehi; Dhivehi; Maldivian,maldivien,,,
33,dz,Dzongkha,dzongkha,,,
34,ee,Ewe,éwé,,,
35,el,"Greek, Modern (1453-)",grec moderne (après 1453),,,
36,en,English,anglais,,,
37,eo,Esperanto,espéranto,,,
38,es,Spanish; Castilian,espagnol; castillan,,,
39,et,Estonian,estonien,,,
40,eu,Basque,basque,,,
41,fa,Persian,persan,,,
42,ff,Fulah,peul,,,
43,fi,Finnish,finnois,,,
44,fj,Fijian,fidjien,,,
45,fo,Faroese,féroïen,,,
46,fr,French,français,,,
47,fy,Western Frisian,frison occidental,,,
48,ga,Irish,irlandais,,,
49,gd,Gaelic; Scottish Gaelic,gaélique; gaélique écossais,,,
50,gl,Galician,galicien,,,
51,gn,Guarani,guarani,,,
52,gu,Gujarati,goudjrati,,,
53,gv,Manx,manx; mannois,,,
