,ID,Donnée (Niveau 1),Donnée (Niveau 2),Donnée (Niveau 3),Donnée (Niveau 4),Donnée (Niveau 5),Donnée (Niveau 6),Description,Exemples,Balise NexSIS,Nouvelle balise,Nantes - balise,Nantes - description,GT399,GT399 description,Priorisation,Cardinalité,Objet,Format (ou type),Nomenclature/ énumération,Détails de format
0,1,Identifiant du message référencé,,,,,,Identifiant unique du message référencé,,,distributionID,,,,,,1..1,,string,,
1,2,Indicateur de refus de message,,,,,,Indique si le message acquitté a été refusé,,,refused,,,,,,0..1,,boolean,,
2,3,Identifiant du message d'erreur lié,,,,,,Identifiant unique du message d'erreur lié,,,errorDistributionID,,,,,,0..1,,string,,
