,code,label_n1,Libellé niveau 2,description,commentaire
0,RECU,Dossier reçu,,Le dossier a bien été reçu et est en cours d'intégration,
1,ERREUR,Dossier en erreur,,La création ou intégration du dossier est en erreur,
2,INTEGRE,Dossier intégré,,Le dossier est bien créé et intégré dans le système de destination finale,
3,CONSULTE,Dossier consulté,,Le dossier a été ouvert  par un utilisateur humain (à la première ouverture uniquement),
4,SUPPRIME,Dossier supprimé,,Le dossier dossier a été effacé/supprimé dans le système émetteur,
